Short _Name,Long_Name,Short_Description,Long_Description,Data_Source,,,,,,,,,,,,,,,,,,,,,
m43_2016,Adopt_a_Stream_2016,Percentage of eligible streams adopted for clean-up,Length of stream banks maintained by the adopt-a-stream program divided by the total length of eligible stream banks.,"Mecklenburg County Land Use & Environmental Services Agency, 2016",,,,,,,,,,,,,,,,,,,,,
r43_2016,Adopt_a_Stream_Length_2016,Length of streams adopted (Miles),"Length of adopted stream banks maintained by the adopt-a-stream program in miles. The data do not include shoreline along the Catawba River. For areas where a stream forms a boundary, the linear feet of adopted stream bank is attributed equally to both Neighborhood Profile Areas.","Mecklenburg County Land Use & Environmental Services Agency, 2016",,,,,,,,,,,,,,,,,,,,,
m43_2015,Adopt_a_Stream_2015,Percentage of eligible streams adopted for clean-up,Length of stream banks maintained by the adopt-a-stream program divided by the total length of eligible stream banks.,"Mecklenburg County Land Use & Environmental Services Agency, 2015",,,,,,,,,,,,,,,,,,,,,
r43_2015,Adopt_a_Stream_Length_2015,Length of streams adopted (Miles),"Length of adopted stream banks maintained by the adopt-a-stream program in miles. The data do not include shoreline along the Catawba River. For areas where a stream forms a boundary, the linear feet of adopted stream bank is attributed equally to both Neighborhood Profile Areas.","Mecklenburg County Land Use & Environmental Services Agency, 2015",,,,,,,,,,,,,,,,,,,,,
m43_2013,Adopt_a_Stream_2013,Percentage of eligible streams adopted for clean-up,Length of stream banks maintained by the adopt-a-stream program divided by the total length of eligible stream banks.,"Mecklenburg County Land Use & Environmental Services Agency, 2013",,,,,,,,,,,,,,,,,,,,,
r43_2013,Adopt_a_Stream_Length_2013,Length of streams adopted (Miles),"Length of adopted stream banks maintained by the adopt-a-stream program in miles. The data do not include shoreline along the Catawba River. For areas where a stream forms a boundary, the linear feet of adopted stream bank is attributed equally to both Neighborhood Profile Areas.","Mecklenburg County Land Use & Environmental Services Agency, 2013",,,,,,,,,,,,,,,,,,,,,
m43_2011,Adopt_a_Stream_2011,Percentage of eligible streams adopted for clean-up,Length of stream banks maintained by the adopt-a-stream program divided by the total length of eligible stream banks.,"Mecklenburg County Land Use & Environmental Services Agency, 2011",,,,,,,,,,,,,,,,,,,,,
r43_2011,Adopt_a_Stream_Length_2011,Length of streams adopted (Miles),"Length of adopted stream banks maintained by the adopt-a-stream program in miles. The data do not include shoreline along the Catawba River. For areas where a stream forms a boundary, the linear feet of adopted stream bank is attributed equally to both Neighborhood Profile Areas.","Mecklenburg County Land Use & Environmental Services Agency, 2011",,,,,,,,,,,,,,,,,,,,,
m71_2017,Adopt_a_Street_2017,Percentage of city streets adopted ,Number of miles of city-maintained streets adopted for litter clean up divided by the total mileage of city-maintained streets. Street mileage does not include private streets or state maintained roads. ,"City of Charlotte Neighborhood and Business Services,  July 2016-June 2017",,,,,,,,,,,,,,,,,,,,,
r71_2017,Adopt_a_Street_Length_2017,Length of city street adopted (Miles),Number of miles of city-maintained streets adopted for litter clean up. Street mileage does not include private streets or state maintained roads.,"City of Charlotte Neighborhood and Business Services, July 2016-June 2017",,,,,,,,,,,,,,,,,,,,,
m10_2018,Commuters_Driving_Alone_2018,Percentage of workers that drive to work alone,"Number of workers 16 years and older who report that they commute to work by driving alone, divided by the total number of workers 16 years and older who report that they commute to work.","U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m10_moe_2018,Commuters_Driving_Alone_moe_2018,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m10_2017,Commuters_Driving_Alone_2017,Percentage of workers that drive to work alone,"Number of workers 16 years and older who report that they commute to work by driving alone, divided by the total number of workers 16 years and older who report that they commute to work.","U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m10_moe_2017,Commuters_Driving_Alone_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
Health,,,,,,,,,,,,,,,,,,,,,,,,,
m28_2018,Low_Cost_Healthcare_Proximity_2018,Percentage of housing units within ½-mile of a Medicaid provider or free clinic,"Number of housing units within ½-mile of a Medicaid provider or free clinic, divided by the total number of housing units.","Mecklenburg County Department of Social Services, Community Care of North Carolina, Mecklenburg County Tax Parcels, 2018",,,,,,,,,,,,,,,,,,,,,
r28_2018,Low_Cost_Healthcare_Proximate_Units_2018,Number of housing units within ½-mile of a Medicaid provider or free clinic,Number of housing units within ½-mile of a Medicaid provider or free clinic. Only includes clinics located in Mecklenburg County.,"Mecklenburg County Department of Social Services, Community Care of North Carolina, Mecklenburg County Tax Parcels, 2018",,,,,,,,,,,,,,,,,,,,,
m28_2017,Low_Cost_Healthcare_Proximity_2017,Percentage of housing units within ½-mile of a Medicaid provider or free clinic,"Number of housing units within ½-mile of a Medicaid provider or free clinic, divided by the total number of housing units.","Mecklenburg County Department of Social Services, Community Care of North Carolina, Mecklenburg County Tax Parcels, 2017",,,,,,,,,,,,,,,,,,,,,
r28_2017,Low_Cost_Healthcare_Proximate_Units_2017,Number of housing units within ½-mile of a Medicaid provider or free clinic,Number of housing units within ½-mile of a Medicaid provider or free clinic. Only includes clinics located in Mecklenburg County.,"Mecklenburg County Department of Social Services, Community Care of North Carolina, Mecklenburg County Tax Parcels, 2017",,,,,,,,,,,,,,,,,,,,,
m28_2016,Low_Cost_Healthcare_Proximity_2016,Percentage of housing units within ½-mile of a Medicaid provider or free clinic,"Number of housing units within ½-mile of a Medicaid provider or free clinic, divided by the total number of housing units.","Mecklenburg County Department of Social Services, Community Care of North Carolina, Mecklenburg County Tax Parcels, 2016",,,,,,,,,,,,,,,,,,,,,
r28_2016,Low_Cost_Healthcare_Proximate_Units_2016,Number of housing units within ½-mile of a Medicaid provider or free clinic,Number of housing units within ½-mile of a Medicaid provider or free clinic. Only includes clinics located in Mecklenburg County.,"Mecklenburg County Department of Social Services, Community Care of North Carolina, Mecklenburg County Tax Parcels, 2016",,,,,,,,,,,,,,,,,,,,,
m45_2018,Grocery_Proximity_2018,Percentage of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of a chain grocery store, divided by the total number of housing units.","Chain grocery store addresses, 2018; Mecklenburg County Tax Parcels, 2018",,,,,,,,,,,,,,,,,,,,,
r45_2018,Grocery_Proximate_Units_2018,Number of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of chain grocery store. Data do not include conveniences stores, farmer's markets, or food delivery services. Only includes stores located in Mecklenburg County.","Chain grocery store addresses, 2018; Mecklenburg County Tax Parcels, 2018",,,,,,,,,,,,,,,,,,,,,
m45_2017,Grocery_Proximity_2017,Percentage of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of a chain grocery store, divided by the total number of housing units.","Chain grocery store addresses, 2017; Mecklenburg County Tax Parcels, 2017",,,,,,,,,,,,,,,,,,,,,
r45_2017,Grocery_Proximate_Units_2017,Number of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of chain grocery store. Data do not include conveniences stores, farmer's markets, or food delivery services. Only includes stores located in Mecklenburg County.","Chain grocery store addresses, 2017; Mecklenburg County Tax Parcels, 2017",,,,,,,,,,,,,,,,,,,,,
m45_2016,Grocery_Proximity_2016,Percentage of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of a chain grocery store, divided by the total number of housing units.","Chain grocery store addresses, 2016; Mecklenburg County Tax Parcels, 2016",,,,,,,,,,,,,,,,,,,,,
r45_2016,Grocery_Proximate_Units_2016,Number of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of chain grocery store. Data do not include conveniences stores, farmer's markets, or food delivery services. Only includes stores located in Mecklenburg County.","Chain grocery store addresses, 2016; Mecklenburg County Tax Parcels, 2016",,,,,,,,,,,,,,,,,,,,,
m45_2015,Grocery_Proximity_2015,Percentage of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of a chain grocery store, divided by the total number of housing units.","Chain grocery store addresses, 2015; Mecklenburg County Tax Parcels, 2015",,,,,,,,,,,,,,,,,,,,,
r45_2015,Grocery_Proximate_Units_2015,Number of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of chain grocery store. Data do not include conveniences stores, farmer's markets, or food delivery services. Only includes stores located in Mecklenburg County.","Chain grocery store addresses, 2015; Mecklenburg County Tax Parcels, 2015",,,,,,,,,,,,,,,,,,,,,
m45_2014,Grocery_Proximity_2014,Percentage of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of a chain grocery store, divided by the total number of housing units.","Chain grocery store addresses, 2014; Mecklenburg County Tax Parcels, 2013",,,,,,,,,,,,,,,,,,,,,
r45_2014,Grocery_Proximate_Units_2014,Number of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of chain grocery store. Data do not include conveniences stores, farmer's markets, or food delivery services. Only includes stores located in Mecklenburg County.","Chain grocery store addresses, 2014; Mecklenburg County Tax Parcels, 2013",,,,,,,,,,,,,,,,,,,,,
m45_2011,Grocery_Proximity_2011,Percentage of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of a chain grocery store, divided by the total number of housing units.","Chain grocery store addresses, 2011; Mecklenburg County Tax Parcels, 2011",,,,,,,,,,,,,,,,,,,,,
r45_2011,Grocery_Proximate_Units_2011,Number of housing units within ½-mile of a chain grocery store,"Number of housing units within ½-mile of chain grocery store. Data do not include conveniences stores, farmer's markets, or food delivery services. Only includes stores located in Mecklenburg County.","Chain grocery store addresses, 2011; Mecklenburg County Tax Parcels, 2011",,,,,,,,,,,,,,,,,,,,,
m46_2018,Pharmacy_Proximity_2018,Percentage of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy divided by the total number of housing units. Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2018; Mecklenburg County Tax Parcels, 2018",,,,,,,,,,,,,,,,,,,,,
r46_2018,Pharmacy_Proximate_Units_2018,Number of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy.Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2018; Mecklenburg County Tax Parcels, 2018",,,,,,,,,,,,,,,,,,,,,
m46_2017,Pharmacy_Proximity_2017,Percentage of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy divided by the total number of housing units. Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2017; Mecklenburg County Tax Parcels, 2017",,,,,,,,,,,,,,,,,,,,,
r46_2017,Pharmacy_Proximate_Units_2017,Number of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy.Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2017; Mecklenburg County Tax Parcels, 2017",,,,,,,,,,,,,,,,,,,,,
m46_2016,Pharmacy_Proximity_2016,Percentage of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy divided by the total number of housing units. Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2016; Mecklenburg County Tax Parcels, 2016",,,,,,,,,,,,,,,,,,,,,
r46_2016,Pharmacy_Proximate_Units_2016,Number of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy.Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2016; Mecklenburg County Tax Parcels, 2016",,,,,,,,,,,,,,,,,,,,,
m46_2015,Pharmacy_Proximity_2015,Percentage of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy divided by the total number of housing units. Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2015; Mecklenburg County Tax Parcels, 2015",,,,,,,,,,,,,,,,,,,,,
r46_2015,Pharmacy_Proximate_Units_2015,Number of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy.Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2015; Mecklenburg County Tax Parcels, 2015",,,,,,,,,,,,,,,,,,,,,
m46_2013,Pharmacy_Proximity_2013,Percentage of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy divided by the total number of housing units. Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2013; Mecklenburg County Tax Parcels, 2013",,,,,,,,,,,,,,,,,,,,,
r46_2013,Pharmacy_Proximate_Units_2013,Number of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy.Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2013; Mecklenburg County Tax Parcels, 2013",,,,,,,,,,,,,,,,,,,,,
m46_2011,Pharmacy_Proximity_2011,Percentage of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy divided by the total number of housing units. Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2011; Mecklenburg County Tax Parcels, 2011",,,,,,,,,,,,,,,,,,,,,
r46_2011,Pharmacy_Proximate_Units_2011,Number of housing units within 1/2-mile of a pharmacy,Number of housing units within ½-mile of a pharmacy.Only includes pharmacies located inside Mecklenburg County.,"NC Board of Pharmacy, 2011; Mecklenburg County Tax Parcels, 2011",,,,,,,,,,,,,,,,,,,,,
m74_2018,Park_Proximity_2018,Percentage of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2018; Mecklenburg County Tax Parcels, 2018",,,,,,,,,,,,,,,,,,,,,
r74_2018,Park_Proximate_Units_2018,Number of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances. Recreation areas include those maintained by Mecklenburg County Parks and Recreation, Town Parks and Charlotte-Mecklenburg Schools, including parks, greenways, and boat landings, regardless of size or amenities.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2018; Mecklenburg County Tax Parcels, 2018",,,,,,,,,,,,,,,,,,,,,
m74_2017,Park_Proximity_2017,Percentage of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2017; Mecklenburg County Tax Parcels, 2017",,,,,,,,,,,,,,,,,,,,,
r74_2017,Park_Proximate_Units_2017,Number of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances. Recreation areas include those maintained by Mecklenburg County Parks and Recreation, Town Parks and Charlotte-Mecklenburg Schools, including parks, greenways, and boat landings, regardless of size or amenities.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2017; Mecklenburg County Tax Parcels, 2017",,,,,,,,,,,,,,,,,,,,,
m74_2016,Park_Proximity_2016,Percentage of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2016; Mecklenburg County Tax Parcels, 2016",,,,,,,,,,,,,,,,,,,,,
r74_2016,Park_Proximate_Units_2016,Number of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances. Recreation areas include those maintained by Mecklenburg County Parks and Recreation, Town Parks and Charlotte-Mecklenburg Schools, including parks, greenways, and boat landings, regardless of size or amenities.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2016; Mecklenburg County Tax Parcels, 2016",,,,,,,,,,,,,,,,,,,,,
m74_2015,Park_Proximity_2015,Percentage of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2015; Mecklenburg County Tax Parcels, 2015",,,,,,,,,,,,,,,,,,,,,
r74_2015,Park_Proximate_Units_2015,Number of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances. Recreation areas include those maintained by Mecklenburg County Parks and Recreation, Town Parks and Charlotte-Mecklenburg Schools, including parks, greenways, and boat landings, regardless of size or amenities.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2015; Mecklenburg County Tax Parcels, 2015",,,,,,,,,,,,,,,,,,,,,
m74_2014,Park_Proximity_2014,Percentage of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2014; Mecklenburg County Tax Parcels, 2013",,,,,,,,,,,,,,,,,,,,,
r74_2014,Park_Proximate_Units_2014,Number of housing units within ½-mile of a park or other public recreation facility,"The number of housing units with ½-mile of a public outdoor recreation area, divided by the total number of housing units. Distances are measured from facility entrances. Recreation areas include those maintained by Mecklenburg County Parks and Recreation, Town Parks and Charlotte-Mecklenburg Schools, including parks, greenways, and boat landings, regardless of size or amenities.","Mecklenburg County, Cornelius, Davidson, Huntersville, Mint Hill, Matthews and Pineville Parks and Recreaction Departments, 2014; Mecklenburg County Tax Parcels, 2013",,,,,,,,,,,,,,,,,,,,,
m54_2016,Births_to_Adolescents_2016,Percentage of births to females under 19,"Number of births to females under age 19, divided by all births. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2015 and 2016",,,,,,,,,,,,,,,,,,,,,
m54_2014,Births_to_Adolescents_2014,Percentage of births to females under 19,"Number of births to females under age 19, divided by all births. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2013 and 2014",,,,,,,,,,,,,,,,,,,,,
m54_2012,Births_to_Adolescents_2012,Percentage of births to females under 19,"Number of births to females under age 19, divided by all births. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2011 and 2012",,,,,,,,,,,,,,,,,,,,,
m54_2010,Births_to_Adolescents_2010,Percentage of births to females under 19,"Number of births to females under age 19, divided by all births. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2009 and 2010",,,,,,,,,,,,,,,,,,,,,
m55_2016,Low_Birthweight_2016,Percentage of births where birth weight was less than 5lb 8oz,"Number of births where baby weighed less than 2500 grams (approximately 5lb 8oz), divided by all births. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2015 and 2016",,,,,,,,,,,,,,,,,,,,,
m55_2014,Low_Birthweight_2014,Percentage of births where birth weight was less than 5lb 8oz,"Number of births where baby weighed less than 2500 grams (approximately 5lb 8oz), divided by all births. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2013 and 2014",,,,,,,,,,,,,,,,,,,,,
m55_2012,Low_Birthweight_2012,Percentage of births where birth weight was less than 5lb 8oz,"Number of births where baby weighed less than 2500 grams (approximately 5lb 8oz), divided by all births. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2011 and 2012",,,,,,,,,,,,,,,,,,,,,
m56_2016,Prenatal_Care_2016,Percentage of births where mother received adequate pre-natal care,"Number of births where prenatal care was deemed ""Adequate"" using the Kessner Index, divided by all live births. ”Adequate care” means prenatal care began in the first trimester and the minimum number of visits for each gestational age period of the baby's growth at different points during the pregnancy was met or exceeded. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2015 and 2016",,,,,,,,,,,,,,,,,,,,,
m56_2014,Prenatal_Care_2014,Percentage of births where mother received adequate pre-natal care,"Number of births where prenatal care was deemed ""Adequate"" using the Kessner Index, divided by all live births. ”Adequate care” means prenatal care began in the first trimester and the minimum number of visits for each gestational age period of the baby's growth at different points during the pregnancy was met or exceeded. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2013 and 2014",,,,,,,,,,,,,,,,,,,,,
m56_2012,Prenatal_Care_2012,Percentage of births where mother received adequate pre-natal care,"Number of births where prenatal care was deemed ""Adequate"" using the Kessner Index, divided by all live births. ”Adequate care” means prenatal care began in the first trimester and the minimum number of visits for each gestational age period of the baby's growth at different points during the pregnancy was met or exceeded. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2011 and 2012",,,,,,,,,,,,,,,,,,,,,
m57_2016,Age_of_Death_2016,Average age of death,"Sum of age at time of death for all deaths, divided by total number of deaths. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2015 and 2016",,,,,,,,,,,,,,,,,,,,,
m57_2014,Age_of_Death_2014,Average age of death,"Sum of age at time of death for all deaths, divided by total number of deaths. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2013 and 2014",,,,,,,,,,,,,,,,,,,,,
m57_2012,Age_of_Death_2012,Average age of death,"Sum of age at time of death for all deaths, divided by total number of deaths. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2011 and 2012",,,,,,,,,,,,,,,,,,,,,
m57_2010,Age_of_Death_2010,Average age of death,"Sum of age at time of death for all deaths, divided by total number of deaths. These data are cumulative for the previous 24 months.","Mecklenburg County Health Department, 2009 and 2010",,,,,,,,,,,,,,,,,,,,,
m81_2017,Public_Health_Insurance _2017,Percentage of residents with public health insurance,"Number of residents with public health insurance, dividedd by the total population estimate.","Mecklenburg County Department of Social Services, September 2017; Population Estimate, 2017",,,,,,,,,,,,,,,,,,,,,
m81_2015,Public_Health_Insurance _2015,Percentage of residents with public health insurance,"Number of residents with public health insurance, dividedd by the total population estimate.","Mecklenburg County Department of Social Services, September 2015; Population Estimate, 2015",,,,,,,,,,,,,,,,,,,,,
m81_2014,Public_Health_Insurance _2014,Percentage of residents with public health insurance,"Number of residents with public health insurance, dividedd by the total population estimate.","Mecklenburg County Department of Social Services, September 2014; Population Estimate, 2013",,,,,,,,,,,,,,,,,,,,,
Housing,,,,,,,,,,,,,,,,,,,,,,,,,
m5_2019,Housing_Density_2019,Housing units per acre,"Number of housing units, divided by total land area.","Mecklenburg County Tax Parcels, 2019",,,,,,,,,,,,,,,,,,,,,
r5_2019,Housing_Units_2019,Number of housing units,Total number of housing units,"Mecklenburg County Tax Parcels, 2019",,,,,,,,,,,,,,,,,,,,,
m5_2018,Housing_Density_2018,Housing units per acre,"Number of housing units, divided by total land area.","Mecklenburg County Tax Parcels, 2018",,,,,,,,,,,,,,,,,,,,,
r5_2018,Housing_Units_2018,Number of housing units,Total number of housing units,"Mecklenburg County Tax Parcels, 2018",,,,,,,,,,,,,,,,,,,,,
m5_2017,Housing_Density_2017,Housing units per acre,"Number of housing units, divided by total land area.","Mecklenburg County Tax Parcels, 2017",,,,,,,,,,,,,,,,,,,,,
r5_2017,Housing_Units_2017,Number of housing units,Total number of housing units,"Mecklenburg County Tax Parcels, 2017",,,,,,,,,,,,,,,,,,,,,
m5_2016,Housing_Density_2016,Housing units per acre,"Number of housing units, divided by total land area.","Mecklenburg County Tax Parcels, 2016",,,,,,,,,,,,,,,,,,,,,
r5_2016,Housing_Units_2016,Number of housing units,Total number of housing units,"Mecklenburg County Tax Parcels, 2016",,,,,,,,,,,,,,,,,,,,,
m5_2015,Housing_Density_2015,Housing units per acre,"Number of housing units, divided by total land area.","Mecklenburg County Tax Parcels, 2015",,,,,,,,,,,,,,,,,,,,,
r5_2015,Housing_Units_2015,Number of housing units,Total number of housing units,"Mecklenburg County Tax Parcels, 2015",,,,,,,,,,,,,,,,,,,,,
m5_2013,Housing_Density_2013,Housing units per acre,"Number of housing units, divided by total land area.","Mecklenburg County Tax Parcels, 2013",,,,,,,,,,,,,,,,,,,,,
r5_2013,Housing_Units_2013,Number of housing units,Total number of housing units,"Mecklenburg County Tax Parcels, 2013",,,,,,,,,,,,,,,,,,,,,
m5_2011,Housing_Density_2011,Housing Units per Acre,"Number of housing units, divided by total land area.","Mecklenburg County Tax Parcels, 2011",,,,,,,,,,,,,,,,,,,,,
r5_2011,Housing_Units_2011,Number of housing units,Total number of housing units,"Mecklenburg County Tax Parcels, 2011",,,,,,,,,,,,,,,,,,,,,
m30_2019,Single_Family_Housing_2019,Percentage of housing units that are single-family,"Number of single-family units, divided by total housing units.","Mecklenburg County Tax Parcels, 2019",,,,,,,,,,,,,,,,,,,,,
r30_2019,Single_Family_Units_2019,Number of single-family housing units,"Number of single-family units. Single-family housing units includes detached homes as well as duplexes, triplexes, and mobile homes. Duplexes and triplexes are counted as 2 and 3 units, respectively.","Mecklenburg County Tax Parcels, 2019",,,,,,,,,,,,,,,,,,,,,
m30_2018,Single_Family_Housing_2018,Percentage of housing units that are single-family,"Number of single-family units, divided by total housing units.","Mecklenburg County Tax Parcels, 2018",,,,,,,,,,,,,,,,,,,,,
r30_2018,Single_Family_Units_2018,Number of single-family housing units,"Number of single-family units. Single-family housing units includes detached homes as well as duplexes, triplexes, and mobile homes. Duplexes and triplexes are counted as 2 and 3 units, respectively.","Mecklenburg County Tax Parcels, 2018",,,,,,,,,,,,,,,,,,,,,
m30_2017,Single_Family_Housing_2017,Percentage of housing units that are single-family,"Number of single-family units, divided by total housing units.","Mecklenburg County Tax Parcels, 2017",,,,,,,,,,,,,,,,,,,,,
r30_2017,Single_Family_Units_2017,Number of single-family housing units,"Number of single-family units. Single-family housing units includes detached homes as well as duplexes, triplexes, and mobile homes. Duplexes and triplexes are counted as 2 and 3 units, respectively.","Mecklenburg County Tax Parcels, 2017",,,,,,,,,,,,,,,,,,,,,
m30_2016,Single_Family_Housing_2016,Percentage of housing units that are single-family,"Number of single-family units, divided by total housing units.","Mecklenburg County Tax Parcels, 2016",,,,,,,,,,,,,,,,,,,,,
r30_2016,Single_Family_Units_2016,Number of single-family housing units,"Number of single-family units. Single-family housing units includes detached homes as well as duplexes, triplexes, and mobile homes. Duplexes and triplexes are counted as 2 and 3 units, respectively.","Mecklenburg County Tax Parcels, 2016",,,,,,,,,,,,,,,,,,,,,
m30_2015,Single_Family_Housing_2015,Percentage of housing units that are single-family,"Number of single-family units, divided by total housing units.","Mecklenburg County Tax Parcels, 2015",,,,,,,,,,,,,,,,,,,,,
r30_2015,Single_Family_Units_2015,Number of single-family housing units,"Number of single-family units. Single-family housing units includes detached homes as well as duplexes, triplexes, and mobile homes. Duplexes and triplexes are counted as 2 and 3 units, respectively.","Mecklenburg County Tax Parcels, 2015",,,,,,,,,,,,,,,,,,,,,
m30_2013,Single_Family_Housing_2013,Percentage of housing units that are single-family,"Number of single-family units, divided by total housing units.","Mecklenburg County Tax Parcels, 2013",,,,,,,,,,,,,,,,,,,,,
r30_2013,Single_Family_Units_2013,Number of single-family housing units,"Number of single-family units. Single-family housing units includes detached homes as well as duplexes, triplexes, and mobile homes. Duplexes and triplexes are counted as 2 and 3 units, respectively.","Mecklenburg County Tax Parcels, 2013",,,,,,,,,,,,,,,,,,,,,
m30_2011,Single_Family_Housing_2011,Percentage of housing units that are single-family,"Number of single-family units, divided by total housing units.","Mecklenburg County Tax Parcels, 2011",,,,,,,,,,,,,,,,,,,,,
